source_file,block_index,block_start_line,token_index,candidate_class,visibility_policy,safe_to_hide,risk_note,reason,rule_code,unique_tokens,reading_distribution,suspect_witness_only,unique_count,max_levenshtein_distance,min_levenshtein_similarity,max_damerau_distance,min_damerau_similarity,max_graphic_levenshtein_distance,max_graphic_damerau_distance,min_graphic_similarity,graphic_keys,witness_1_1,witness_2_2,witness_3_3,witness_4_4,witness_5_5
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,3,13,1,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,i_j+punctuation_removed_for_graphic_key,"IOCASTE, | JOCASTE,","IOCASTE,=[1,2] | JOCASTE,=[3,4,5]",,2,1,0.875,1,0.875,0,0,1.000,iocaste,"IOCASTE,","IOCASTE,","JOCASTE,","JOCASTE,","JOCASTE,"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,3,13,2,minor_punctuation,hide_safe,yes,masquable:rule_based,punctuation_only,punctuation_only,OLYMPE. | OLYMPE..,"OLYMPE.=[1,3,4,5] | OLYMPE..=[2]",,2,1,0.875,1,0.875,0,0,1.000,olimpe,OLYMPE.,OLYMPE..,OLYMPE.,OLYMPE.,OLYMPE.
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,6,31,1,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,apostrophe+u_v,Qu’un | Qv’vn,"Qu’un=[2,3,4,5] | Qv’vn=[1]",,2,2,0.600,2,0.600,0,0,1.000,quun,Qv’vn,Qu’un,Qu’un,Qu’un,Qu’un
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,6,31,9,minor_punctuation,hide_safe,yes,masquable:rule_based,punctuation_only,punctuation_only,"pleurs, | pleurs~!","pleurs,=[2,3] | pleurs~!=[1,4,5]",,2,2,0.750,2,0.750,0,0,1.000,pleurs,pleurs~!,"pleurs,","pleurs,",pleurs~!,pleurs~!
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,7,37,7,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,final_t_before_s+u_v,ouuerts | ouverts,"ouuerts=[1] | ouverts=[2,3,4,5]",,2,1,0.857,1,0.857,0,0,1.000,ouuers,ouuerts,ouverts,ouverts,ouverts,ouverts
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,7,37,9,minor_punctuation,hide_safe,yes,masquable:rule_based,punctuation_only,punctuation_only,"larmes, | larmes~! | larmes~; | larmes~?","larmes,=[1,5] | larmes~!=[2] | larmes~;=[4] | larmes~?=[3]",,4,2,0.750,2,0.750,0,0,1.000,larmes,"larmes,",larmes~!,larmes~?,larmes~;,"larmes,"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,9,49,1,mixed_minor_and_substantive,visible,no,visible:do_not_hide;contains_substantive_component,accent_only;historic_graphic_key_identity;low_similarity_or_real_rewriting,accent+accent+spacing_or_hyphen+u_v+spacing_or_hyphen+u_v+substantive_default,Il~deuoit~bien~plutost | Il~devoit~bien~plutost | Il~devoit~bien~plûtost | Puisse~plûtost~la~mort,"Il~deuoit~bien~plutost=[1] | Il~devoit~bien~plutost=[5] | Il~devoit~bien~plûtost=[2,3] | Puisse~plûtost~la~mort=[4]",,4,19,0.136,19,0.136,15,15,0.211,ildeuoitbienplutost | puiseplutostlamort,Il~deuoit~bien~plutost,Il~devoit~bien~plûtost,Il~devoit~bien~plûtost,Puisse~plûtost~la~mort,Il~devoit~bien~plutost
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,10,55,1,mixed_minor_and_substantive,visible,no,visible:do_not_hide;contains_substantive_component,historic_graphic_key_identity;low_similarity_or_real_rewriting,spacing_or_hyphen+u_v+substantive_default,Et~m’empescher~de~voir | Que~de~fauoriser | Que~de~favoriser,"Et~m’empescher~de~voir=[4] | Que~de~fauoriser=[1] | Que~de~favoriser=[2,3,5]",,3,18,0.182,18,0.182,14,14,0.222,etmempescherdeuoir | quedefauoriser,Que~de~fauoriser,Que~de~favoriser,Que~de~favoriser,Et~m’empescher~de~voir,Que~de~favoriser
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,11,61,3,minor_spacing,hide_safe,yes,masquable:rule_based,spacing_or_hyphen_only,spacing_or_hyphen_only,sont-ils | sont~ils,"sont-ils=[2,3,4] | sont~ils=[1,5]",,2,1,0.875,1,0.875,0,0,1.000,sontils,sont~ils,sont-ils,sont-ils,sont-ils,sont~ils
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,14,79,1,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,i_j,Ie | Je,"Ie=[1] | Je=[2,3,4,5]",,2,1,0.500,1,0.500,0,0,1.000,ie,Ie,Je,Je,Je,Je
